the_geom,Latitude,Longitude,Location,Name,Quantity,Type
POINT (-87.817812 42.011171),42.011171,-87.817812,7158 North Ottawa Avenue,Shanti Yoga Studio  7646 W Touhy,1,Type B
POINT (-87.659879 41.996294999999996),41.996295,-87.659879,1151 West Rosemont Avenue,1151 W. Rosemont Ave,2,Type B
POINT (-87.67670199999999 41.925037),41.925037,-87.676702,1902 W. Fullerton,1902 W. Fullerton,1,Type B
POINT (-87.635065 41.880778),41.880778,-87.635065,230 West Monroe Street,230 West Monroe Street,2,Type B
POINT (-87.62787 41.88668200000001),41.886682,-87.62787,1 E Wacker Drive,1 E Wacker Drive,2,Type B
POINT (-87.63134299999999 41.888825),41.888825,-87.631343,350 North Clark Street,Umbria Coffee,2,Type B
POINT (-87.699362 41.924427),41.924427,-87.699362,2847-2849 West Fullerton Avenue,2369 N Milwaukee Ave,1,Type B
POINT (-87.719801 41.895261000000005),41.895261,-87.719801,3725 West Chicago Avenue,3725 West Chicago Avenue,1,Type B
POINT (-87.75807199999998 41.96532700000001),41.965327,-87.758072,4645 North Milwaukee Avenue,"4641 N. Milwaukee, Cosmic Bikes",1,Type B
POINT (-87.73649599999999 41.931432),41.931432,-87.736496,2749-2759 North Kostner Avenue,Cozy Corner,1,Type B
POINT (-87.648789 41.891574),41.891574,-87.648789,504 N. Green,504 N. Green,1,Type B
POINT (-87.701624 41.961492),41.961492,-87.701624,2916 W. Montrose,2916 W. Montrose,2,Type B
POINT (-87.634326 41.906099),41.906099,-87.634326,1311 North Wells Street,1311 North Wells Street,2,Type B
POINT (-87.648768 41.88387699999999),41.883877,-87.648768,RM Champagne Salon,"114 North Green Street, RM Champagne Salon",2,Type B
POINT (-87.69932199999998 41.917412),41.917412,-87.699322,1958 North Francisco Avenue,1958 North Francisco Avenue,1,Type B
POINT (-87.631372 41.889748),41.889748,-87.631372,414-416 North Clark Street,Sam's Grill and the Mini Mart,1,Type B
POINT (-87.63981299999999 41.885026999999994),41.885027,-87.639813,165 N. Canal,165 N. Canal,2,Type B
POINT (-87.70984 41.91008600000001),41.910086,-87.70984,3301 W. North Ave,Arcadia Foremost Liquors,2,Type B
POINT (-87.691313 41.95365699999999),41.953657,-87.691313,2501 West Irving Park Road,"Boys & Girls Club, 2501 W. Irving",4,Type B
POINT (-87.644754 41.816430000000004),41.81643,-87.644754,734-738 West 43rd Street,South Side Om yoga,2,Type B
POINT (-87.76606677 41.938662459999996),41.93866246,-87.76606677,5554 W Belmont Ave,Betty's & Nick's Salon,1,Type B
POINT (-87.718423 41.939471999999995),41.939472,-87.718423,3622-3624 West Belmont Avenue,3624 W. Belmont,2,Type B
POINT (-87.703121 41.968497),41.968497,-87.703121,2960 West Lawrence Avenue,2960 West Lawrence Avenue - Global Gardens,2,Type B
POINT (-87.636952 41.89617199999999),41.896172,-87.636952,757 North Orleans Street,757 North Orleans Street - Bank of America,1,Type B
POINT (-87.620784 41.89499300000001),41.894993,-87.620784,259 E. Erie Street,Northwestern Medicine Primary and Specialty Care Lavin Family Pavilion,2,Type B
POINT (-87.65437699999998 41.69494400000001),41.694944,-87.654377,1233 West 109th Place,Foundations College Prep,4,Type B
POINT (-87.62909999999998 41.88291499999999),41.882915,-87.6291,33 North Dearborn Street,33 North Dearborn Street,1,Type B
